,name,org_level,capacity,pct_ps,pct_is,pct_hs,guessed_pct,start_date,capital_plan,borough,address,geo_function,geom,geo_grc,geo_grc2,geo_reason_code,geo_message
0,P.S./I.S. @ 3269 ATLANTIC AVENUE,PSIS,1000,0.5,0.5,0.0,True,2020-09-01,15-19,Brooklyn,3269 ATLANTIC AVENUE,1B-tpad,,00,42,,
1,P.S. @ 4525 8TH AVENUE,PS,328,1.0,0.0,0.0,False,2021-09-01,15-19,Brooklyn,4525 8TH AVENUE,1B-tpad,,00,42,,
2,P.S. @ PARCEL C,PS,572,1.0,0.0,0.0,False,2022-09-01,15-19,Queens,1-50 54TH AVENUE,1B-tpad,,00,42,,
3,P.S. @ HUDSON SQUARE,PS,462,1.0,0.0,0.0,False,2025-06-01,20-24,Manhattan,2 HUDSON SQUARE,,,42,42,,ADDRESS NUMBER OUT OF RANGE
4,P.S. @ 1570 BOONE AVENUE,PS,458,1.0,0.0,0.0,False,2021-09-01,20-24,Bronx,1570 BOONE AVENUE,1B-tpad,,00,01,*,
5,I.S. @ 21-31 & 35 DELEVAN STREET,IS,646,0.0,1.0,0.0,False,2025-06-01,20-24,Brooklyn,21-31 & 35 DELEVAN STREET,,,13,13,C,ADDRESS NBR 21-31 35  HAS AN EMBEDDED BLANK.
6,P.S. @ PARCEL C,PS,572,1.0,0.0,0.0,False,2023-05-01,20-24,Queens,1-50 54TH AVENUE,1B-tpad,,00,42,,
7,P.S. 85 ANNEX,PS,476,1.0,0.0,0.0,False,2023-09-01,20-24,Queens,23-35 29 STREET,1B-tpad,,00,42,,
8,I.S. @ 44-59 45 AVENUE,IS,536,0.0,1.0,0.0,False,2024-06-01,20-24,Queens,44-59 45 AVENUE,,,42,42,,ADDRESS NUMBER OUT OF RANGE
